	Duration	Scr_bytes	Dst_bytes	Land	Wrong_fragment	Urgent	Hot	Num_failed_logins	Logged_in	Num_compromised	Root_shell	Su_attempted	Num_root	Num_file_creations	Num_shells	Num_access_files	Num_outbound_cmds	Is_hot_login	Is_guest_login	Count	Srv_count	Serror_rate	Srv_serror_rate	Rerror_rate	Srv_rerror_rate	Same_srv_state	Diff_srv_rate	Srv_diff_host_rate	Dst_host_count	Dst_host_srv_count	Dst_host_same_srv_rate	Dst_host_diff_srv_rate	Dst_host_same_scr_port_rate	Dst_host_srv_diff_host_rate	Dst_host_serror_rate	Dst_host_srv_serror_rate	Dst_host_rerror_rate	Dst_host_srv_rerror_rate	label
0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	1	0.0	0.0	0.0	0.0	0.08	0.15	0.0	255	1	0.88	0.6	0.88	0.0	0.0	0.0	0.0	0.0	0
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	6	1.0	1.0	0.0	0.0	0.05	0.07	0.0	255	26	0.0	0.05	0.0	0.0	1.0	1.0	0.0	0.0	1
2	0	232	8153	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	5	0.2	0.2	0.0	0.0	1.0	0.0	0.0	30	255	0.03	0.0	0.03	0.04	0.03	0.01	0.0	0.01	0
3	0	199	420	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	30	32	0.0	0.0	0.0	0.0	1.0	0.0	0.09	255	255	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	19	0.0	0.0	1.0	1.0	0.16	0.06	0.0	255	19	0.0	0.07	0.0	0.0	0.0	0.0	1.0	1.0	1
5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	9	1.0	1.0	0.0	0.0	0.05	0.06	0.0	255	9	0.0	0.05	0.0	0.0	1.0	1.0	0.0	0.0	1
6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	16	1.0	1.0	0.0	0.0	0.14	0.06	0.0	255	15	0.0	0.07	0.0	0.0	1.0	1.0	0.0	0.0	1
7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	270	23	1.0	1.0	0.0	0.0	0.09	0.05	0.0	255	23	0.0	0.05	0.0	0.0	1.0	1.0	0.0	0.0	1
8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	8	1.0	1.0	0.0	0.0	0.06	0.06	0.0	255	13	0.0	0.06	0.0	0.0	1.0	1.0	0.0	0.0	1
9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205	12	0.0	0.0	1.0	1.0	0.06	0.06	0.0	255	12	0.0	0.07	0.0	0.0	0.0	0.0	1.0	1.0	1
10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199	3	1.0	1.0	0.0	0.0	0.02	0.06	0.0	255	13	0.0	0.07	0.0	0.0	1.0	1.0	0.0	0.0	1
11	0	287	2251	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	7	0.0	0.0	0.0	0.0	1.0	0.0	0.43	8	219	0.12	0.0	0.12	0.03	0.0	0.0	0.0	0.0	0
12	0	334	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	2	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2	20	1.0	0.0	1.0	0.2	0.0	0.0	0.0	0.0	3
